id,name,url,parent_id,parent_name,create_at
1,Máy tính bảng,https://tiki.vn/may-tinh-bang/c1794?src=c.1789.hamburger_menu_fly_out_banner,1,Điện Thoại - Máy Tính Bảng,2020-11-29 10:15:56
2,Máy đọc sách,https://tiki.vn/may-doc-sach/c28856?src=c.1789.hamburger_menu_fly_out_banner,1,Điện Thoại - Máy Tính Bảng,2020-11-29 10:15:56
3,Điện thoại Smartphone,https://tiki.vn/dien-thoai-smartphone/c1795?src=c.1789.hamburger_menu_fly_out_banner,1,Điện Thoại - Máy Tính Bảng,2020-11-29 10:15:56
4,Điện thoại bàn,https://tiki.vn/dien-thoai-ban/c8061?src=c.1789.hamburger_menu_fly_out_banner,1,Điện Thoại - Máy Tính Bảng,2020-11-29 10:15:56
5,Điện thoại phổ thông,https://tiki.vn/dien-thoai-pho-thong/c1796?src=c.1789.hamburger_menu_fly_out_banner,1,Điện Thoại - Máy Tính Bảng,2020-11-29 10:15:56
6,Máy giặt,https://tiki.vn/may-giat/c3862?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
7,Máy lạnh - Máy điều hòa,https://tiki.vn/may-lanh-may-dieu-hoa/c3865?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
8,Máy nước nóng,https://tiki.vn/may-nuoc-nong/c3866?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
9,Máy rửa chén,https://tiki.vn/may-rua-chen/c3864?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
10,Máy sấy quần áo,https://tiki.vn/may-say-quan-ao/c3863?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
11,Phụ kiện điện lạnh,https://tiki.vn/phu-kien-dien-lanh/c8074?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
12,Tivi,https://tiki.vn/tivi/c5015?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
13,Tủ lạnh,https://tiki.vn/tu-lanh/c2328?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
14,Tủ đông - Tủ mát,https://tiki.vn/tu-dong-tu-mat/c3868?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
15,Tủ ướp rượu,https://tiki.vn/tu-uop-ruou/c3869?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
16,Âm thanh & Phụ kiện Tivi,https://tiki.vn/am-thanh-phu-kien-tivi/c26568?src=c.4221.hamburger_menu_fly_out_banner,2,Điện Tử - Điện Lạnh,2020-11-29 10:16:10
17,"Phụ kiện, linh kiện máy giặt",https://tiki.vn/phu-kien-linh-kien-may-giat/c28890?src=c.4221.hamburger_menu_fly_out_banner,11,Phụ kiện điện lạnh,2020-11-29 10:16:21
18,"Phụ kiện, linh kiện máy lạnh",https://tiki.vn/phu-kien-linh-kien-may-lanh/c28886?src=c.4221.hamburger_menu_fly_out_banner,11,Phụ kiện điện lạnh,2020-11-29 10:16:21
19,"Phụ kiện, linh kiện tủ lạnh",https://tiki.vn/phu-kien-linh-kien-tu-lanh/c28884?src=c.4221.hamburger_menu_fly_out_banner,11,Phụ kiện điện lạnh,2020-11-29 10:16:21
20,"Phụ kiện, linh kiện điện lạnh khác",https://tiki.vn/phu-kien-linh-kien-dien-lanh-khac/c28892?src=c.4221.hamburger_menu_fly_out_banner,11,Phụ kiện điện lạnh,2020-11-29 10:16:21
21,Internet Tivi,https://tiki.vn/internet-tivi/c11524?src=c.4221.hamburger_menu_fly_out_banner,12,Tivi,2020-11-29 10:16:31
22,Smart Tivi - Android Tivi,https://tiki.vn/smart-tivi-android-tivi/c4239?src=c.4221.hamburger_menu_fly_out_banner,12,Tivi,2020-11-29 10:16:31
23,Tivi 4K,https://tiki.vn/tivi-4k/c6280?src=c.4221.hamburger_menu_fly_out_banner,12,Tivi,2020-11-29 10:16:31
24,Tivi OLED,https://tiki.vn/tivi-oled/c7603?src=c.4221.hamburger_menu_fly_out_banner,12,Tivi,2020-11-29 10:16:31
25,Tivi QLED,https://tiki.vn/tivi-qled/c8950?src=c.4221.hamburger_menu_fly_out_banner,12,Tivi,2020-11-29 10:16:31
26,Tivi cao cấp,https://tiki.vn/tivi-cao-cap/c12900?src=c.4221.hamburger_menu_fly_out_banner,12,Tivi,2020-11-29 10:16:31
27,Tivi thường (LED),https://tiki.vn/tivi-thuong-led/c4236?src=c.4221.hamburger_menu_fly_out_banner,12,Tivi,2020-11-29 10:16:31
